date,time,weekday,club,occupancy_percent
2026-08-17,14:02,Mon,Raudondvaris,39
2026-08-17,14:09,Mon,Raudondvaris,39
2026-08-17,14:19,Mon,Raudondvaris,40
2026-08-17,14:29,Mon,Raudondvaris,39
2026-08-17,14:39,Mon,Raudondvaris,40
2026-08-17,14:43,Mon,Raudondvaris,40
2026-08-17,14:45,Mon,Raudondvaris,40
2026-08-17,14:49,Mon,Raudondvaris,40
2026-08-17,14:56,Mon,Raudondvaris,40
2026-08-17,15:00,Mon,Raudondvaris,40
2026-08-17,15:10,Mon,Raudondvaris,38
2026-08-17,15:20,Mon,Raudondvaris,37
2026-08-17,15:30,Mon,Raudondvaris,36
2026-08-17,15:40,Mon,Raudondvaris,37
2026-08-17,15:50,Mon,Raudondvaris,36
2026-08-17,16:00,Mon,Raudondvaris,37
2026-08-17,16:10,Mon,Raudondvaris,36
2026-08-17,16:20,Mon,Raudondvaris,36
2026-08-17,16:30,Mon,Raudondvaris,38
2026-08-17,16:40,Mon,Raudondvaris,39
2026-08-17,16:50,Mon,Raudondvaris,42
2026-08-17,16:56,Mon,Raudondvaris,45
2026-08-17,16:59,Mon,Raudondvaris,44
2026-08-17,17:00,Mon,Raudondvaris,45
2026-08-17,17:10,Mon,Raudondvaris,46
2026-08-17,17:20,Mon,Raudondvaris,48
2026-08-17,17:30,Mon,Raudondvaris,50
2026-08-17,17:41,Mon,Raudondvaris,48
2026-08-17,17:51,Mon,Raudondvaris,53
2026-08-17,17:57,Mon,Raudondvaris,56
2026-08-17,18:00,Mon,Raudondvaris,57
2026-08-17,18:01,Mon,Raudondvaris,58
2026-08-17,18:11,Mon,Raudondvaris,59
2026-08-17,18:12,Mon,Raudondvaris,59
2026-08-17,18:21,Mon,Raudondvaris,60
2026-08-17,18:31,Mon,Raudondvaris,62
2026-08-17,18:41,Mon,Raudondvaris,62
2026-08-17,18:51,Mon,Raudondvaris,65
2026-08-17,18:54,Mon,Raudondvaris,67
2026-08-17,18:56,Mon,Raudondvaris,67
2026-08-17,18:59,Mon,Raudondvaris,68
2026-08-17,19:01,Mon,Raudondvaris,67
2026-08-17,19:11,Mon,Raudondvaris,67
2026-08-17,19:21,Mon,Raudondvaris,69
2026-08-17,19:31,Mon,Raudondvaris,71
2026-08-17,19:41,Mon,Raudondvaris,72
2026-08-17,19:51,Mon,Raudondvaris,73
2026-08-17,20:00,Mon,Raudondvaris,71
2026-08-17,20:01,Mon,Raudondvaris,72
2026-08-17,20:11,Mon,Raudondvaris,72
2026-08-17,20:13,Mon,Raudondvaris,72
2026-08-17,20:21,Mon,Raudondvaris,70
2026-08-17,20:31,Mon,Raudondvaris,67
2026-08-17,20:42,Mon,Raudondvaris,64
2026-08-17,20:49,Mon,Raudondvaris,64
2026-08-17,20:52,Mon,Raudondvaris,63
2026-08-17,21:02,Mon,Raudondvaris,60
2026-08-17,21:12,Mon,Raudondvaris,58
2026-08-17,21:22,Mon,Raudondvaris,55
2026-08-17,21:32,Mon,Raudondvaris,50
2026-08-17,21:42,Mon,Raudondvaris,47
2026-08-17,21:52,Mon,Raudondvaris,45
2026-08-17,22:02,Mon,Raudondvaris,43
2026-08-17,22:12,Mon,Raudondvaris,41
2026-08-17,22:16,Mon,Raudondvaris,41
2026-08-17,22:17,Mon,Raudondvaris,41
2026-08-17,22:22,Mon,Raudondvaris,39
2026-08-17,22:32,Mon,Raudondvaris,34
2026-08-17,22:42,Mon,Raudondvaris,32
2026-08-17,22:52,Mon,Raudondvaris,29
